"species","feeding","motility","tiering","size"
"Pseudomidiella sp. 3","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudomidiella? sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudospira sp. 2","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pseudospira specialisaeformis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Rectoglomospira sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Rectostipulina hexamerata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Rectostipulina pentamerata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Rectostipulina quadrata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Reichelina cribroseptata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Reichelina cf. minuta","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Robuloides lens","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Sichotenella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Staffella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Bituberitina? sp.","deposit_surficial","non_motile_attached","epifaunal_surficial","tiny"
"Eotuberitina reitlingerae","deposit_surficial","non_motile_attached","epifaunal_surficial","tiny"
"Eotubespina spinosa","deposit_surficial","non_motile_attached","epifaunal_surficial","tiny"
"Floritheca variata","deposit_surficial","non_motile_attached","epifaunal_surficial","tiny"
